Reading, Time (micro), X Coord, Y Coord
202,2496274,0.493184,0.490218
203,2507540,0.493733,0.490476
204,2518811,0.494137,0.490871
205,2530030,0.494268,0.491404
206,2540361,0.49441,0.492059
207,2552137,0.494556,0.492678
208,2563465,0.495149,0.492841
209,2573870,0.495765,0.493104
210,2585392,0.496549,0.493366
211,2596528,0.496906,0.493906
212,2607156,0.497235,0.494361
213,2618844,0.497389,0.495117
214,2629653,0.49786,0.495538
215,2640506,0.498278,0.495846
216,2651990,0.498696,0.496011
217,2663110,0.499064,0.496175
218,2673576,0.499378,0.496358
219,2685289,0.499605,0.496286
220,2696209,0.499645,0.496376
221,2706997,0.499736,0.496403
222,2718656,0.499812,0.496574
223,2729477,0.500141,0.496731
224,2740227,0.500461,0.496752
225,2751876,0.500731,0.496811
226,2763331,0.500903,0.496902
227,2773830,0.501034,0.497149
228,2785112,0.501136,0.497412
229,2796276,0.501183,0.497511
230,2806931,0.501248,0.497631
231,2818577,0.501476,0.497513
232,2829643,0.501712,0.497242
233,2840583,0.501868,0.496903
234,2852014,0.501971,0.496781
235,2862829,0.502184,0.496766
236,2873347,0.502418,0.496704
237,2885021,0.502785,0.496766
238,2896505,0.503035,0.497064
239,2906665,0.503234,0.497448
240,2918508,0.503284,0.497416
241,2929656,0.503504,0.497373
242,2939994,0.503756,0.497355
243,2951636,0.503989,0.497596
244,2962771,0.504031,0.497687
245,2973528,0.50404,0.497882
246,2984986,0.504118,0.498083
247,2996114,0.50411,0.498518
248,3006720,0.504198,0.498914
249,3018493,0.504275,0.499182
250,3029538,0.504456,0.499265
251,3040242,0.50455,0.499359
252,3052162,0.50444,0.499671
253,3062659,0.504376,0.500189
254,3073326,0.50436,0.500947
255,3084976,0.504472,0.501675
256,3095914,0.504466,0.502476
257,3106806,0.504463,0.503002
258,3118338,0.504497,0.503274
259,3129234,0.504348,0.503294
260,3139951,0.504167,0.503442
261,3151556,0.504044,0.503773
262,3162505,0.504113,0.504375
263,3173280,0.504219,0.505072
264,3184874,0.504159,0.505764
265,3195932,0.504047,0.506034
266,3206552,0.503868,0.506208
267,3218077,0.503777,0.506387
268,3229391,0.503887,0.506746
269,3239983,0.504068,0.506972
270,3251512,0.504114,0.507134
271,3262559,0.504108,0.507468
272,3273832,0.504058,0.50788
273,3284761,0.504148,0.50835
274,3295812,0.504192,0.508525
275,3306456,0.504203,0.508561
276,3318234,0.504062,0.50849
277,3329400,0.50369,0.508471
278,3340471,0.503329,0.508582
279,3351332,0.502994,0.508818
280,3362637,0.502892,0.509147
281,3373277,0.502811,0.50926
282,3384661,0.502781,0.509309
283,3395905,0.50279,0.509256
284,3406433,0.502853,0.509151
285,3419022,0.503025,0.509121
286,3429121,0.503255,0.508638
287,3439831,0.503419,0.508052
288,3451363,0.503391,0.507052
289,3462276,0.503239,0.506529
290,3473052,0.503109,0.506113
291,3484689,0.503179,0.506046
292,3495635,0.503349,0.506102
293,3506341,0.503493,0.506167
294,3518162,0.503517,0.506004
295,3529122,0.503411,0.505421
296,3539624,0.503321,0.504711
297,3551271,0.503306,0.503903
298,3562373,0.503347,0.50326
299,3573128,0.503309,0.5014
300,3584564,0.503184,0.496825
301,3595610,0.502972,0.488131
302,3606468,0.502639,0.477425
303,3617887,0.502278,0.467208
304,3629549,0.501952,0.457831
305,3639679,0.501753,0.449716
306,3651316,0.501646,0.442444
307,3662183,0.501532,0.436448
308,3673072,0.501362,0.43075
309,3684869,0.501275,0.426285
310,3695467,0.501073,0.422149
311,3706326,0.50094,0.418559
312,3718191,0.500468,0.414744
313,3728999,0.499985,0.411111
314,3739578,0.499468,0.407895
315,3751323,0.501169,0.405038
316,3762393,0.510184,0.400926
