imageFileID,userResponse,timeTaken
1,p,01.442909
2,-,3500
3,r,00.151043
4,-,3500
5,r,01.004936
6,-,3500
7,-,3500
8,p,00.940831
9,-,3500
10,-,3500
11,r,00.586941
12,-,3500
13,-,3500
14,-,3500
15,r,00.030957
16,-,3500
17,p,00.803946
18,-,3500
19,-,3500
20,r,00.316993
21,-,3500
22,-,3500
23,p,00.505961
24,-,3500
25,-,3500
26,-,3500
